1088_IOM_NEU_XX,NEU
1017_IWW_HAP_XX,HAP
1033_ITS_HAP_XX,HAP
1054_ITS_ANG_XX,ANG
1069_IWW_SAD_XX,SAD
1068_IOM_NEU_XX,NEU
1054_TSI_FEA_XX,FEA
1088_IEO_DIS_MD,DIS
1059_IWL_ANG_XX,ANG
1048_TIE_SAD_XX,SAD
1080_ITS_DIS_XX,DIS
1009_IEO_HAP_HI,HAP
1018_IWW_ANG_XX,ANG
1072_ITS_NEU_XX,NEU
1079_IEO_DIS_LO,DIS
1011_DFA_SAD_XX,SAD
1011_DFA_HAP_XX,HAP
1001_IOM_SAD_XX,SAD
1026_TIE_SAD_XX,SAD
1080_IWW_ANG_XX,ANG
1087_TIE_NEU_XX,NEU
1019_IEO_HAP_LO,HAP
1077_IWL_SAD_XX,SAD
1074_TAI_ANG_XX,ANG
1084_TSI_FEA_XX,FEA
1040_ITS_NEU_XX,NEU
1010_DFA_ANG_XX,ANG
1078_IOM_FEA_XX,FEA
1034_IEO_HAP_LO,HAP
1086_IEO_DIS_MD,DIS
1049_WSI_DIS_XX,DIS
1008_ITS_DIS_XX,DIS
1050_TIE_NEU_XX,NEU
1008_IWW_NEU_XX,NEU
1041_TSI_HAP_XX,HAP
1032_IEO_NEU_XX,NEU
1049_TSI_HAP_XX,HAP
1060_ITS_SAD_XX,SAD
1033_IWW_SAD_XX,SAD
1003_ITS_HAP_XX,HAP
1061_DFA_FEA_XX,FEA
1011_IOM_FEA_XX,FEA
1058_IEO_DIS_HI,DIS
1067_DFA_NEU_XX,NEU
1004_IOM_SAD_XX,SAD
1078_TSI_ANG_XX,ANG
1074_IWL_DIS_XX,DIS
1029_TSI_SAD_XX,SAD
1039_IEO_HAP_LO,HAP
1088_IWL_FEA_XX,FEA
1038_WSI_HAP_XX,HAP
1014_ITS_ANG_XX,ANG
1031_TIE_ANG_XX,ANG
1020_IOM_NEU_XX,NEU
1078_IWL_ANG_XX,ANG
1063_IOM_ANG_XX,ANG
1088_IWL_ANG_XX,ANG
1046_IEO_NEU_XX,NEU
1027_MTI_SAD_XX,SAD
1079_DFA_FEA_XX,FEA
1054_ITH_HAP_XX,HAP
1021_WSI_NEU_XX,NEU
1035_TSI_DIS_XX,DIS
1019_TAI_SAD_XX,SAD
1019_ITS_HAP_XX,HAP
1070_IWW_DIS_XX,DIS
1037_ITH_NEU_XX,NEU
1003_TIE_FEA_XX,FEA
1044_TIE_SAD_XX,SAD
1048_TAI_FEA_XX,FEA
1076_IEO_HAP_LO,HAP
1080_TAI_NEU_XX,NEU
1022_ITH_NEU_XX,NEU
1019_IOM_SAD_XX,SAD
1076_IEO_SAD_LO,SAD
1079_MTI_FEA_XX,FEA
1004_WSI_FEA_XX,FEA
1056_IEO_DIS_HI,DIS
1024_IWW_ANG_XX,ANG
1028_IEO_HAP_MD,HAP
1039_ITH_HAP_XX,HAP
1065_MTI_NEU_XX,NEU
1069_MTI_FEA_XX,FEA
1070_TAI_HAP_XX,HAP
1048_IWW_SAD_XX,SAD
1088_IWW_SAD_XX,SAD
1034_ITS_DIS_XX,DIS
1039_DFA_DIS_XX,DIS
1016_IOM_FEA_XX,FEA
1085_WSI_FEA_XX,FEA
1017_IEO_NEU_XX,NEU
1051_TSI_FEA_XX,FEA
1064_ITS_NEU_XX,NEU
1021_ITS_SAD_XX,SAD
1063_IWW_FEA_XX,FEA
1061_IEO_DIS_LO,DIS
1044_ITH_NEU_XX,NEU
1077_IWL_FEA_XX,FEA
1046_IEO_HAP_HI,HAP
1052_IEO_DIS_MD,DIS
1070_ITS_DIS_XX,DIS
1019_IEO_SAD_LO,SAD
1081_IOM_DIS_XX,DIS
1080_ITS_ANG_XX,ANG
1003_WSI_DIS_XX,DIS
1028_DFA_DIS_XX,DIS
1035_IOM_DIS_XX,DIS
1090_IEO_FEA_LO,FEA
1089_ITH_DIS_XX,DIS
1022_WSI_HAP_XX,HAP
1032_DFA_HAP_XX,HAP
1018_IEO_DIS_MD,DIS
1004_TIE_FEA_XX,FEA
1082_TSI_NEU_XX,NEU
1020_DFA_SAD_XX,SAD
1009_IWW_FEA_XX,FEA
1063_MTI_ANG_XX,ANG
1054_IOM_HAP_XX,HAP
1027_MTI_NEU_XX,NEU
1031_IEO_SAD_LO,SAD
1073_ITS_NEU_XX,NEU
1021_IWW_DIS_XX,DIS
1050_ITS_DIS_XX,DIS
1077_WSI_SAD_XX,SAD
1038_IEO_DIS_HI,DIS
1043_TIE_SAD_XX,SAD
1085_TAI_SAD_XX,SAD
1042_TSI_DIS_XX,DIS
1034_IEO_SAD_HI,SAD
1060_TAI_ANG_XX,ANG
1067_TSI_SAD_XX,SAD
1083_IOM_ANG_XX,ANG
1050_DFA_SAD_XX,SAD
1080_IOM_NEU_XX,NEU
1077_IEO_SAD_HI,SAD
1045_DFA_NEU_XX,NEU
1064_DFA_DIS_XX,DIS
1067_IEO_FEA_LO,FEA
1062_ITH_NEU_XX,NEU
1083_IOM_HAP_XX,HAP
1010_ITS_HAP_XX,HAP
1022_TSI_ANG_XX,ANG
1051_TAI_ANG_XX,ANG
1013_IEO_HAP_HI,HAP
1033_IEO_FEA_HI,FEA
1074_ITS_FEA_XX,FEA
1054_IWW_SAD_XX,SAD
1011_TIE_NEU_XX,NEU
1077_ITH_SAD_XX,SAD
1051_IEO_ANG_LO,ANG
1049_IEO_NEU_XX,NEU
1015_ITH_ANG_XX,ANG
1023_WSI_FEA_XX,FEA
1047_IOM_SAD_XX,SAD
1072_DFA_HAP_XX,HAP
1053_MTI_NEU_XX,NEU
1086_ITS_HAP_XX,HAP
1019_TAI_NEU_XX,NEU
1051_IWW_HAP_XX,HAP
1026_TIE_NEU_XX,NEU
1047_DFA_HAP_XX,HAP
1079_TAI_DIS_XX,DIS
1001_TSI_FEA_XX,FEA
1054_IEO_ANG_LO,ANG
1015_IEO_SAD_MD,SAD
1059_TAI_HAP_XX,HAP
1008_TSI_FEA_XX,FEA
1049_MTI_DIS_XX,DIS
1054_TSI_ANG_XX,ANG
1043_DFA_NEU_XX,NEU
1063_WSI_SAD_XX,SAD
1076_TIE_SAD_XX,SAD
1046_IOM_FEA_XX,FEA
1014_IWW_FEA_XX,FEA
1069_IEO_NEU_XX,NEU
1062_TAI_DIS_XX,DIS
1048_IEO_HAP_HI,HAP
1032_ITH_ANG_XX,ANG
1060_MTI_ANG_XX,ANG
1015_ITS_NEU_XX,NEU
1065_TIE_NEU_XX,NEU
1018_WSI_HAP_XX,HAP
1024_IEO_NEU_XX,NEU
1021_IEO_DIS_HI,DIS
1064_ITH_FEA_XX,FEA
1047_TSI_ANG_XX,ANG
1084_WSI_FEA_XX,FEA
1067_IEO_DIS_HI,DIS
1029_WSI_SAD_XX,SAD
1026_IWW_FEA_XX,FEA
1001_WSI_SAD_XX,SAD
1045_ITS_SAD_XX,SAD
1021_IEO_NEU_XX,NEU
1012_IEO_HAP_MD,HAP
1060_ITH_HAP_XX,HAP
